customerID,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,StreamingTV,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C1000,0,Yes,No,42,Yes,No,DSL,Yes,No,No,One year,No,Mailed check,41.68,1777.63,No
C1001,0,Yes,No,32,Yes,No,DSL,Yes,No,Yes,Month-to-month,Yes,Credit card,63.65,1966.48,No
C1002,0,Yes,Yes,44,Yes,Yes,Fiber optic,Yes,No,No,Two year,No,Electronic check,55.53,2401.38,No
C1003,0,Yes,No,16,Yes,Yes,No,No internet service,No internet service,No internet service,One year,Yes,Credit card,85.5,1346.49,No
C1004,0,Yes,Yes,5,Yes,No,DSL,No,No,Yes,Month-to-month,Yes,Mailed check,86.2,470.34,No
C1005,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,Two year,Yes,Electronic check,19.12,918.93,No
C1006,0,Yes,No,5,Yes,No,No,No internet service,No internet service,No internet service,One year,No,Electronic check,91.13,482.41,No
C1007,0,No,No,17,Yes,No,DSL,Yes,Yes,Yes,One year,No,Bank transfer,49.73,844.04,No
C1008,0,No,Yes,25,Yes,No,Fiber optic,Yes,No,No,Month-to-month,Yes,Credit card,70.91,1733.35,No
C1009,0,Yes,Yes,0,No,No phone service,DSL,No,No,No,Month-to-month,Yes,Electronic check,41.53,74.41,No
C1010,0,No,No,0,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,74.28,74.28,Yes
C1011,0,Yes,No,42,Yes,Yes,DSL,No,Yes,Yes,Two year,Yes,Mailed check,128.78,5429.71,No
C1012,0,No,No,27,Yes,Yes,DSL,No,Yes,Yes,One year,Yes,Bank transfer,68.18,1835.25,No
C1013,0,No,No,34,No,No phone service,No,No internet service,No internet service,No internet service,Two year,No,Bank transfer,53.5,1847.15,No
C1014,0,No,Yes,8,Yes,Yes,Fiber optic,Yes,Yes,No,Month-to-month,Yes,Credit card,59.2,443.33,No
C1015,0,Yes,No,15,Yes,Yes,DSL,No,No,Yes,Month-to-month,Yes,Electronic check,28.27,476.68,No
C1016,1,No,Yes,47,Yes,Yes,Fiber optic,Yes,No,No,One year,Yes,Electronic check,101.22,4826.25,No
C1017,0,Yes,No,6,No,No phone service,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,72.82,486.49,Yes
C1018,0,Yes,No,41,Yes,Yes,Fiber optic,Yes,Yes,Yes,Two year,No,Credit card,38.78,1597.86,No
C1019,0,No,No,42,Yes,No,DSL,Yes,Yes,No,One year,Yes,Mailed check,39.59,1641.02,No
C1020,0,Yes,No,17,Yes,Yes,DSL,No,No,No,One year,Yes,Electronic check,65.38,1252.57,No
C1021,0,No,Yes,0,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,88.3,88.3,No
C1022,0,No,Yes,45,Yes,No,DSL,No,No,No,Two year,Yes,Bank transfer,36.23,1674.41,No
C1023,0,No,No,54,Yes,No,DSL,Yes,No,Yes,Two year,Yes,Mailed check,92.84,5030.0,No
C1024,0,No,No,28,Yes,No,DSL,No,Yes,No,One year,Yes,Electronic check,62.71,1752.75,No
C1025,0,No,No,6,No,No phone service,DSL,No,Yes,Yes,Month-to-month,No,Credit card,41.74,259.7,No
C1026,0,Yes,No,0,Yes,Yes,Fiber optic,No,No,No,Month-to-month,Yes,Bank transfer,53.31,53.31,No
C1027,0,No,No,7,Yes,Yes,Fiber optic,Yes,No,No,Month-to-month,No,Electronic check,108.71,782.32,No
C1028,0,No,No,22,Yes,No,DSL,No,Yes,Yes,Month-to-month,No,Electronic check,30.29,682.22,No
C1029,0,Yes,No,9,Yes,No,DSL,Yes,No,No,One year,Yes,Electronic check,46.7,554.18,No
C1030,1,Yes,Yes,21,Yes,No,DSL,Yes,No,No,One year,No,Bank transfer,88.81,1918.55,No
C1031,0,Yes,No,37,No,No phone service,DSL,Yes,Yes,No,Two year,No,Electronic check,70.41,2630.96,No
C1032,0,Yes,Yes,0,Yes,No,DSL,Yes,No,Yes,Month-to-month,Yes,Electronic check,45.22,45.22,No
C1033,0,No,Yes,10,Yes,No,Fiber optic,Yes,Yes,No,Month-to-month,Yes,Mailed check,89.12,983.18,Yes
C1034,0,Yes,No,13,Yes,Yes,DSL,No,No,No,Month-to-month,No,Credit card,90.31,1125.51,No
C1035,0,No,No,13,Yes,Yes,DSL,No,No,No,Month-to-month,Yes,Mailed check,73.28,943.5,No
C1036,0,No,No,0,Yes,Yes,Fiber optic,Yes,Yes,No,Month-to-month,Yes,Mailed check,49.69,49.69,No
C1037,0,No,No,0,Yes,No,Fiber optic,No,No,Yes,Month-to-month,Yes,Mailed check,53.54,53.54,No
